'p1','p2','p3'
0.0,0.8330942666810753,0.16690573331892467
0.00043775254172965166,0.834,0.16556224745827042
0.000923624266232965,0.835,0.1640763757337671
0.001,0.8351565043018387,0.16384349569816126
0.0015712905610533795,0.836,0.1624287094389466
0.002,0.8366294975119652,0.16137050248803475
0.0022963468528013785,0.837,0.1607036531471987
0.003,0.8378748649186123,0.1591251350813877
0.0031136938671101886,0.838,0.1588863061328899
0.004,0.8389700706921028,0.15702992930789716
0.004030303859724673,0.839,0.15696969614027534
0.005,0.8399523522622598,0.15504764773774016
0.005053158848007122,0.84,0.15494684115199286
0.006,0.8408439025574688,0.15315609744253122
0.006190498811419589,0.841,0.1528095011885804
0.007,0.8416595599391786,0.15134044006082137
0.007452239621660438,0.842,0.1505477603783396
0.008,0.8424099966400843,0.14959000335991568
0.008850286179453092,0.843,0.14814971382054698
0.009,0.8431032886995223,0.14789671130047766
0.01,0.8437449842055234,0.14625501579447664
0.01042678000340974,0.844,0.14557321999659034
0.011,0.8443405337748053,0.14465946622519466
0.012,0.8448941842999754,0.14310581570002456
0.012204721882125628,0.845,0.1427952781178744
0.013,0.8454086522527263,0.14159134774727367
0.014,0.84588773605143,0.14011226394857001
0.014250983223005553,0.846,0.13974901677699447
0.015,0.8463330490377245,0.13866695096227544
0.016,0.8467474335221165,0.13725256647788353
0.016654360384391064,0.847,0.13634563961560897
0.017,0.84713260929978,0.13586739070022003
0.018,0.8474898611005012,0.1345101388994988
0.019,0.8478214160191981,0.13317858398080185
0.019580772884539317,0.848,0.13241922711546072
0.02,0.8481281255467426,0.13187187445325743
0.021,0.8484110476598469,0.1305889523401531
0.022,0.8486718080853192,0.1293281919146808
0.023,0.8489113602476454,0.12808863975235463
0.023403647519527948,0.849,0.12759635248047208
0.024,0.8491301438143297,0.12686985618567026
0.025,0.8493291655167879,0.12567083448321203
0.026,0.8495094633968633,0.12449053660313669
0.027,0.8496717275838189,0.12332827241618105
0.028,0.8498166005014498,0.12218339949855017
0.029,0.8499446819067596,0.12105531809324033
0.029493819468299962,0.85,0.12050618053170004
0.03,0.8500563393930679,0.11994366060693207
0.031,0.8501521556123032,0.1188478443876968
0.032,0.8502328140114943,0.11776718598850566
0.033,0.8502987808982001,0.11670121910179987
0.034,0.8503504968520044,0.1156495031479956
0.035,0.8503883789670548,0.1146116210329452
0.036,0.8504128228424048,0.11358717715759514
0.037,0.8504242043550011,0.11257579564499887
0.038,0.8504228812445431,0.11157711875545684
0.039,0.8504091945348423,0.11059080546515765
0.04,0.8503834698125473,0.10961653018745265
0.041,0.850346018380987,0.10865398161901296
0.042,0.850297138304302,0.10770286169569798
0.043,0.8502371153548854,0.10676288464511452
0.044,0.8501662238753489,0.10583377612465106
0.045,0.8500847275647138,0.1049152724352862
0.04592224581020088,0.85,0.10407775418979914
0.046,0.8499928537600488,0.10400714623995111
0.047,0.8498905191130296,0.10310948088697036
0.048,0.8497782726083847,0.10222172739161528
0.049,0.8496563421232325,0.10134365787676747
0.05,0.8495249479075584,0.10047505209244156
0.051,0.8493843030602503,0.0996156969397497
0.052,0.8492346139701398,0.09876538602986018
0.053,0.8490760807254771,0.09792391927452282
0.05345421638712447,0.849,0.09754578361287558
0.054,0.8489085456693626,0.09709145433063737
0.055,0.8487322167018898,0.09626778329811014
0.056,0.848547569220348,0.09545243077965193
0.057,0.8483547815398921,0.09464521846010787
0.058,0.8481540273094937,0.09384597269050621
0.0587378699036013,0.848,0.09326213009639872
0.059,0.8479452600198206,0.09305473998017944
0.061,0.8475036565931555,0.09149634340684454
0.063,0.8470326318077999,0.08996736819220019
0.06313214082557715,0.847,0.08986785917442286
0.065,0.8465314961869523,0.08846850381304772
0.067,0.8460030265419987,0.08699697345800139
0.069,0.8454461740597605,0.08555382594023953
0.07053709310922804,0.845,0.08446290689077196
0.071,0.8448635678543873,0.08413643214561273
0.072,0.8445621641222968,0.08343783587770326
0.073,0.8442548132971396,0.08274518670286046
0.0738130619565528,0.844,0.08218693804344723
0.074,0.843941391553726,0.082058608446274
0.075,0.8436211480433341,0.08137885195666594
0.076,0.8432952836141681,0.08070471638583199
0.07689072800949155,0.843,0.08010927199050843
0.077,0.8429637618396778,0.08003623816032224
0.078,0.8426255427597018,0.07937445724029824
0.079,0.8422820128025542,0.07871798719744583
0.0798080735080188,0.842,0.07819192649198126
0.08,0.8419329938146464,0.07806700618535367
0.081,0.8415776158454803,0.07742238415451974
0.082,0.8412172231686564,0.0767827768313436
0.08259366357445297,0.841,0.07640633642554706
0.083,0.8408512652461042,0.07614873475389583
0.084,0.8404795036187065,0.07552049638129354
0.085,0.8401030115963339,0.0748969884036661
0.08526946939482126,0.84,0.07473053060517876
0.086,0.8397206330814286,0.0742793669185714
0.087,0.8393332269505909,0.07366677304940916
0.08784983099209966,0.839,0.07315016900790039
0.088,0.8389410956537716,0.07305890434622841
0.089,0.8385430479568133,0.0724569520431867
0.09,0.8381407052083052,0.07185929479169484
0.09034513897630055,0.838,0.07165486102369945
0.091,0.8377329308730346,0.07126706912696545
0.092,0.8373203670762785,0.07067963292372148
0.09276823542050802,0.837,0.07023176457949198
0.093,0.8369033151208672,0.07009668487913279
0.094,0.8364807816893209,0.06951921831067909
0.095,0.836054365771498,0.06894563422850197
0.09512588629137404,0.836,0.06887411370862595
0.096,0.8356223653260871,0.06837763467391289
0.097,0.8351863726651929,0.06781362733480711
0.09742284302803986,0.835,0.0675771569719602
0.098,0.8347455201767743,0.06725447982322574
0.099,0.8343001849486826,0.06669981505131739
0.09966782554934202,0.834,0.06633217445065798
0.1,0.8338506352835111,0.06614936471648891
0.101,0.8333961855517682,0.06560381444823182
0.10186489047155538,0.833,0.0651351095284447
0.102,0.8329380874135236,0.06506191258647642
0.103,0.8324747455935837,0.06452525440641632
