'p1','p2','p3'
0.135,0.5450879987713768,0.3199120012286232
0.134,0.5452597114034808,0.32074028859651915
0.133,0.5454243258224613,0.32157567417753874
0.132,0.5455817540779863,0.32241824592201374
0.131,0.545731907058291,0.323268092941709
0.13,0.5458746944652788,0.3241253055347212
0.12907391777709198,0.546,0.324926082222908
0.129,0.5460099878524577,0.3249900121475423
0.128,0.5461372973387958,0.3258627026612042
0.127,0.5462569907942438,0.32674300920575616
0.126,0.5463689732881422,0.32763102671185784
0.125,0.5464731485744404,0.3285268514255596
0.124,0.5465694190622662,0.3294305809377338
0.123,0.5466576857856127,0.3303423142143873
0.122,0.5467378483721075,0.3312621516278925
0.121,0.5468098050108308,0.33219019498916924
0.12,0.5468734524191402,0.3331265475808598
0.119,0.5469286858084657,0.33407131419153435
0.118,0.5469753988490291,0.3350246011509709
0.1173535180653755,0.547,0.33564648193462443
0.117,0.5470134338283182,0.33598656617168177
0.116,0.5470426723622809,0.33695732763771913
0.115,0.5470630945571298,0.33793690544287025
0.114,0.5470745880033252,0.3389254119966748
0.113,0.5470770385644127,0.3399229614355873
0.112,0.5470703303344857,0.3409296696655143
0.111,0.5470543455942203,0.34194565440577973
0.11,0.5470289647654196,0.3429710352345804
0.10916970446963056,0.547,0.34383029553036937
0.109,0.5469940442819393,0.3440059557180607
0.108,0.5469493390217326,0.3450506609782674
0.107,0.5468948307566014,0.3461051692433986
0.106,0.5468303914521465,0.3471696085478535
0.105,0.5467558909528992,0.3482441090471008
0.104,0.5466711969261612,0.34932880307383884
0.103,0.5465761748038026,0.3504238251961974
0.102,0.546470687721922,0.35152931227807804
0.101,0.5463545964582631,0.3526454035417369
0.1,0.5462277593672851,0.35377224063271495
0.099,0.5460900323127673,0.3549099676872327
0.09839425492821666,0.546,0.35560574507178333
0.098,0.5459410481472745,0.3560589518527255
0.097,0.5457804975953174,0.3572195024046826
0.096,0.545608565712646,0.358391434287354
0.095,0.5454250970058114,0.3595749029941886
0.094,0.5452299330986724,0.3607700669013276
0.093,0.5450229126470241,0.36197708735297596
0.09289518371807812,0.545,0.3621048162819218
0.092,0.5448031303808905,0.3631968696191096
0.091,0.5445710260348514,0.3644289739651486
0.09,0.5443265145659079,0.36567348543409217
0.089,0.5440694210697826,0.3669305789302174
0.08874231357251121,0.544,0.3672576864274888
0.088,0.5437988059547653,0.36820119404523477
0.087,0.5435149345027602,0.3694850654972398
0.086,0.5432178837379634,0.3707821162620366
0.08529762840325085,0.543,0.3717023715967491
0.085,0.5429071101990453,0.3720928898009548
0.084,0.5425818884147694,0.37341811158523064
0.083,0.5422428501824698,0.3747571498175303
0.08231166749188454,0.542,0.3756883325081154
0.082,0.5418893693055553,0.3761106306944447
0.081,0.5415206732981699,0.37747932670183015
0.08,0.5411374797009096,0.3788625202990904
0.0796539837114144,0.541,0.37934601628858555
0.079,0.5407385663269766,0.38026143367302345
0.078,0.5403241248076494,0.3816758751923507
0.07724522207976031,0.54,0.3827547779202396
0.077,0.5398940469931189,0.3831059530068811
0.076,0.5394471904935269,0.3845528095064732
0.07503328291020993,0.539,0.38596671708979
0.075,0.5389845088588158,0.3860154911411843
0.074,0.538504011708637,0.387495988291363
0.073,0.5380071841618589,0.38899281583814116
0.07298597592880454,0.538,0.38901402407119545
0.072,0.5374917857390201,0.3905082142609799
0.07107604285682578,0.537,0.3919239571431742
0.071,0.5369592742695358,0.3920407257304642
0.06928359619248634,0.536,0.3947164038075136
0.069,0.5358376578150823,0.39516234218491775
0.067,0.5346391594020588,0.3983608405979413
0.0659837405099649,0.534,0.40001625949003505
0.065,0.5333603956893054,0.4016396043106947
0.06300318907634914,0.532,0.4049968109236508
0.063,0.5319977795865998,0.4050022204134003
0.061,0.53054571910145,0.40845428089855007
0.06028086844552697,0.53,0.40971913155447304
0.059,0.5290016133634756,0.41199838663652444
0.05899799312545447,0.529,0.41200200687454547
0.058,0.5281925765377516,0.4138074234622483
0.05776796582304876,0.528,0.4142320341769512
0.057,0.5273585473473131,0.4156414526526868
0.05658141194495034,0.527,0.4164185880550496
0.056,0.5264987844061465,0.41750121559385345
0.05543562579790284,0.526,0.41856437420209713
0.055,0.5256125193119462,0.41938748068805376
0.05432810451119321,0.525,0.4206718954888068
0.054,0.5246989552840445,0.4213010447159554
0.0532565282942103,0.524,0.42274347170578963
0.053,0.5237572657107871,0.4232427342892129
0.05221874287920548,0.523,0.4247812571207945
0.052,0.5227865925985279,0.42521340740147207
0.05121274386469475,0.522,0.4267872561353052
0.051,0.5217860449135685,0.42721395508643145
0.050236662715613896,0.521,0.4287633372843861
0.05,0.5207546968074102,0.4292453031925898
0.04928875421045004,0.52,0.4307112457895499
0.049,0.5196915857145956,0.43130841428540434
0.04836738515427147,0.519,0.43263261484572857
0.048,0.5185957103111847,0.4334042896888153
0.047471024200760215,0.518,0.43452897579923977
0.047,0.5174660283204952,0.4355339716795048
0.046598232646784275,0.517,0.4364017673532157
0.046,0.5163014541511287,0.43769854584887125
0.04574765608031118,0.516,0.4382523439196888
0.045,0.5151008563504526,0.4398991436495474
0.04491801677707266,0.515,0.44008198322292735
0.04411036557389674,0.514,0.4418896344261033
0.044,0.5138624544196503,0.4421375455803497
0.04332338716634034,0.513,0.44367661283365967
0.043,0.5125849969192834,0.4444150030807166
0.04255426046169267,0.512,0.44544573953830735
0.042,0.5112676286682633,0.4467323713317367
0.04180193673435656,0.511,0.4471980632656435
0.04106677565143683,0.51,0.4489332243485632
0.041,0.5099085887022397,0.4490914112977603
0.04035088676059181,0.509,0.45064911323940815
0.04,0.5085054675353846,0.45149453246461535
0.03964923246701822,0.508,0.45235076753298176
0.039,0.5070579623467281,0.4539420376532719
0.03896092991608932,0.507,0.45403907008391065
0.03829105510496512,0.506,0.4557089448950349
0.038,0.5055625186576745,0.4564374813423254
0.0376339478243422,0.505,0.45736605217565784
0.037,0.5040189756359323,0.4589810243640676
0.03698800614569784,0.504,0.45901199385430214
0.0363598129076829,0.503,0.46064018709231713
0.036,0.5024231953645591,0.4615768046354408
0.035741782292702716,0.502,0.46225821770729725
0.03513572187087206,0.501,0.4638642781291279
0.035,0.5007746039708407,0.46422539602915924
0.034543773494140693,0.5,0.46545622650585927
0.034,0.4990701431129008,0.46692985688709915
0.03395988012507987,0.499,0.4670401198749201
0.03339145083555822,0.498,0.46860854916444183
0.033,0.4973064393013176,0.46969356069868234
0.03283084181330652,0.497,0.47016915818669347
0.032282427798169554,0.496,0.4717175722018304
0.032,0.49548147120818964,0.47251852879181033
0.031743531109465165,0.495,0.47325646889053485
0.031214447330145834,0.494,0.4747855526698541
0.031,0.493591958429746,0.47540804157025396
0.030695770280497844,0.493,0.47630422971950215
0.030185369880283135,0.492,0.4778146301197169
0.03,0.49163439428224875,0.4783656057177512
0.029685490386303838,0.491,0.47931450961369615
0.029193162247118952,0.49,0.480806837752881
0.029,0.48960502473781453,0.48139497526218544
0.028710720572290998,0.489,0.48228927942770905
0.028235887104514863,0.488,0.48376411289548515
0.028,0.48749982478215437,0.4845001752178456
0.027769577921991043,0.487,0.4852304220780089
0.027311693069003204,0.486,0.48668830693099685
0.027,0.48531447178338283,0.48768552821661715
0.02686025773234236,0.485,0.48813974226765766
0.026418805174525772,0.484,0.48958119482547424
0.026,0.48304431537758624,0.49095568462241373
0.025981024070217233,0.483,0.49101897592978283
0.025555515616034405,0.482,0.4924444843839656
0.025133136136802202,0.481,0.4938668638631978
0.025,0.48068268740921666,0.4943173125907833
0.024720174613914063,0.48,0.49527982538608595
0.024313162534307466,0.479,0.49668683746569253
0.024,0.47822504849642217,0.4977749515035778
0.023911181234990878,0.478,0.4980888187650091
0.02351910500315004,0.477,0.49948089499685
0.02312992070701116,0.476,0.5008700792929889
0.023,0.4756639093338465,0.5013360906661535
0.022749426056722394,0.475,0.5022505739432777
0.022374664337812704,0.474,0.5036253356621874
0.0220026785966113,0.473,0.5049973214033887
0.022,0.472992752336785,0.505007247663215
0.021641897101048715,0.472,0.5063581028989513
0.02128385213453967,0.471,0.5077161478654604
0.021,0.47020142388739444,0.5087985761126055
0.020930150461803805,0.47,0.5090698495381962
0.02058569119103701,0.469,0.510414308808963
0.020243800306403503,0.468,0.5117561996935964
0.02,0.46728171326510404,0.512718286734896
0.01990675463493325,0.467,0.5130932453650667
0.019578021748562192,0.466,0.5144219782514379
0.01925175540144271,0.465,0.5157482445985573
0.019,0.4642226697627849,0.5167773302372151
0.018929709352265654,0.464,0.5170702906477342
0.01861620058437831,0.463,0.5183837994156217
0.018305060673139906,0.462,0.5196949393268602
0.018,0.46101204998628975,0.5209879500137102
0.01799637549059036,0.461,0.5210036245094096
0.017697618997597198,0.46,0.5223023810024028
0.01740113746258899,0.459,0.5235988625374111
0.01710692427252255,0.458,0.5248930757274775
0.017,0.45763395199265605,0.5253660480073439
0.016819727509644576,0.457,0.5261802724903555
0.016537465227421482,0.456,0.5274625347725785
0.016257381391434792,0.455,0.5287426186085651
0.016,0.45407392697927323,0.5299260730207267
0.015980013332306163,0.454,0.5300199866676938
0.01571155933013146,0.453,0.5312884406698686
0.01544519690602624,0.452,0.5325548030939737
0.015180920622478342,0.451,0.5338190793775217
0.015,0.4503101423304686,0.5346898576695314
0.014920945354497261,0.45,0.5350790546455026
0.014667923787816613,0.449,0.5363320762121835
0.01441690468390376,0.448,0.5375830953160963
0.014167883156313944,0.447,0.538832116843686
0.014,0.44632055082487365,0.5396794491751263
0.01392309431413607,0.446,0.5400769056858639
0.013684981551868636,0.445,0.5413150184481315
0.013448785470167904,0.444,0.5425512145298321
0.013214501692844462,0.443,0.5437854983071555
0.013,0.4420769692398664,0.5449230307601336
0.012982652133784465,0.442,0.5450173478662155
0.01275896020410603,0.441,0.5462410397958939
0.0125371020598785,0.44,0.5474628979401215
0.012317073798101416,0.439,0.5486829262018986
