'p1','p2','p3'
0.5145356952968224,0.48,0.005464304703177603
0.5199878056849044,0.46,0.020012194315095544
0.52,0.45995357435994333,0.020046425640056653
0.5250659460293321,0.44,0.0349340539706679
0.5300848512752023,0.42,0.04991514872479769
0.5350512423126256,0.4,0.0649487576873744
0.5399722873591295,0.38,0.0800277126408705
0.54,0.3798851402349132,0.08011485976508675
0.5446410946740778,0.36,0.09535890532592217
0.5492859106889659,0.34,0.11071408931103405
0.5539097262770922,0.32,0.12609027372290776
0.5585145959741009,0.3,0.1414854040258991
0.56,0.29348204266789013,0.14651795733210982
0.5629747797416551,0.28,0.15702522025834487
0.5673639121402718,0.26,0.17263608785972817
0.5717447655656074,0.24,0.18825523443439263
0.5761180915747235,0.22,0.2038819084252765
0.58,0.20220324024461547,0.21779675975538457
0.5804656887599112,0.2,0.21953431124008876
0.5846571441976895,0.18,0.23534285580231046
0.5888468934160904,0.16,0.25115310658390955
0.5930352020603504,0.14,0.26696479793964956
0.5972224185529909,0.12,0.28277758144700915
0.6,0.10669701496087529,0.2933029850391247
0.6013561388614688,0.1,0.29864386113853125
0.605387030731595,0.08,0.31461296926840493
0.609420099775217,0.06,0.33057990022478295
0.6134554654587611,0.04,0.34654453454123896
0.6174932949251795,0.02,0.3625067050748205
0.62,0.007559631331970534,0.3724403686680295
0.6214784749864061,0.0,0.37852152501359393
