'p1','p2','p3'
0.5132735496355473,0.485,0.0017264503644527363
0.5146456149396894,0.48,0.005354385060310607
0.515,0.4786951073571615,0.006304892642838511
0.5159950294205005,0.475,0.00900497057949956
0.5173324862303904,0.47,0.012667513769609617
0.5186633853079285,0.465,0.016336614692071427
0.5199880406424996,0.46,0.020011959357500386
0.52,0.4599544457657966,0.0200455542342034
0.52128968344852,0.455,0.023710316551479982
0.5225862150110463,0.45,0.027413784988953693
0.5238779768593588,0.445,0.03112202314064122
0.525,0.4406391851192085,0.03436081488079146
0.5251630726181041,0.44,0.034836927381895866
0.5264299076992489,0.435,0.03857009230075109
0.5276930023054685,0.43,0.042306997694531556
0.5289524774559549,0.425,0.04604752254404515
0.53,0.4208272379750407,0.04917276202495929
0.5302059253105811,0.42,0.04979407468941893
0.5314435109294167,0.415,0.05355648907058336
0.5326781918083086,0.41,0.05732180819169147
0.5339100535199958,0.405,0.06108994648000421
0.535,0.4005644406424598,0.0644355593575402
0.5351375425662579,0.4,0.06486245743374208
0.5363497262186798,0.395,0.06865027378132016
0.5375596160353209,0.39,0.07244038396467911
0.538767272143526,0.385,0.07623272785647395
0.5399727562145923,0.38,0.08002724378540771
0.54,0.3798864549840541,0.08011354501594586
0.5411627428042817,0.375,0.08383725719571833
0.5423505851184036,0.37,0.08764941488159639
0.5435366396878977,0.365,0.09146336031210234
0.5447209525665306,0.36,0.09527904743346938
0.545,0.3588175518081984,0.09618244819180155
0.5458935025164964,0.355,0.09910649748350364
0.5470614524180764,0.35,0.10293854758192367
0.5482279656294325,0.345,0.10677203437056748
0.54939307394893,0.34,0.11060692605106998
0.55,0.3373888619816938,0.11261113801830613
0.5505507267440565,0.335,0.1144492732559435
0.5517005252482564,0.33,0.11829947475174357
0.5528491665064176,0.325,0.12215083349358241
0.5539966770167326,0.32,0.12600332298326739
0.555,0.31562261071607917,0.12937738928392079
0.5551415484781275,0.315,0.12985845152187253
0.5562746292402382,0.31,0.13372537075976182
0.5574067851199522,0.305,0.13759321488004778
0.5585380332240314,0.3,0.14146196677596862
0.5596683945636017,0.295,0.14533160543639828
0.56,0.29352945443634804,0.1464705455636519
0.5607894807719728,0.29,0.14921051922802725
0.5619063204017191,0.285,0.15309367959828096
0.5630224362157105,0.28,0.1569775637842895
0.5641378468517696,0.275,0.16086215314823038
0.565,0.27113075388478897,0.1638692461152111
0.565249942676613,0.27,0.164750057323387
0.5663524650564205,0.265,0.16864753494357954
0.5674544205294465,0.26,0.1725455794705535
0.5685558217965102,0.255,0.1764441782034898
0.5696566827560771,0.25,0.18034331724392294
0.57,0.24843745852334756,0.1815625414766525
0.5707492762075163,0.245,0.18425072379248375
0.5718379129231089,0.24,0.18816208707689108
0.5729261246923744,0.235,0.19207387530762565
0.5740139249346629,0.23,0.19598607506533713
0.575,0.2254649465017873,0.19953505349821274
0.5751002981615801,0.225,0.19989970183841985
0.5761763515821333,0.22,0.20382364841786668
0.5772520950101369,0.215,0.20774790498986315
0.578327534015806,0.21,0.21167246598419395
0.5794026764331613,0.205,0.21559732356683867
0.58,0.20221871934229618,0.21778128065770386
0.5804727754300324,0.2,0.2195272245699676
0.5815366880379819,0.195,0.22346331196201813
0.5826003893097657,0.19,0.22739961069023434
0.5836638893733549,0.185,0.2313361106266451
0.5847271920377942,0.18,0.2352728079622058
0.585,0.17871495435425996,0.23628504564574007
0.5857825349193533,0.175,0.23921746508064673
0.5868350577027237,0.17,0.24316494229727628
0.5878874596051966,0.165,0.24711254039480338
0.5889397444670128,0.16,0.25106025553298716
0.5899919184082194,0.155,0.25500808159178057
0.59,0.15496151503731415,0.2550384849626859
0.5910338452747674,0.15,0.25896615472523254
0.5920756436284331,0.145,0.26292435637156686
0.5931173908128222,0.14,0.26688260918717777
0.5941590973685791,0.135,0.2708409026314209
0.595,0.1309621489767412,0.27403785102325884
0.5951988353687406,0.13,0.27480116463125936
0.5962304723515824,0.125,0.27876952764841756
0.5972621236249636,0.12,0.28273787637503645
0.5982937940015227,0.115,0.2867062059984773
0.5993254858728481,0.11,0.29067451412715195
0.6,0.10672894764767663,0.2932710523523234
0.6003538046728679,0.105,0.2946461953271321
0.6013757581497826,0.1,0.2986242418502174
0.6023977821002438,0.095,0.3026022178997563
0.6034198821091417,0.09,0.3065801178908584
0.6044420611812202,0.085,0.31055793881877974
0.605,0.08226873938267695,0.31273126061732304
0.6054599473165198,0.08,0.31454005268348023
0.6064726885660764,0.075,0.3185273114339236
0.6074855518230257,0.07,0.32251444817697433
0.6084985380443995,0.065,0.32650146195560054
0.609511653559185,0.06,0.330488346440815
0.61,0.05758791316533237,0.33241208683466766
0.6105200033819502,0.055,0.3344799966180498
0.6115239555211665,0.05,0.33847604447883356
0.6125280736553064,0.045,0.34247192634469364
0.6135323602955436,0.04,0.34646763970445643
0.6145368167276161,0.035,0.3504631832723839
0.615,0.032692547547771976,0.35230745245222805
0.6155364456666237,0.03,0.3544635543333763
0.6165319935633202,0.025,0.35846800643667975
0.6175277432999678,0.02,0.36247225670003214
0.6185237022648308,0.015,0.3664762977351692
0.6195198694747837,0.01,0.37048013052521633
0.62,0.007588443985110748,0.37241155601488923
0.6205115206608746,0.005,0.37448847933912544
0.6214990099586717,0.0,0.3785009900413283
