k,gm,gm_e,nm,nm_e
1,2.361090919114042,19.891960545047066,1.8004224985080293,1.8442998948217613
2,0.9121996493607919,18.661692628793435,1.0588236629315892,1.6432418470048393
3,0.5544018854408135,17.507513700467133,0.6372094461281661,1.4733552141420803
4,0.3883543025372996,16.424717846821693,0.37467342886614935,1.3285142323032981
5,0.2937675339609373,15.408890203553293,0.24005527066282728,1.2040271934741893
6,0.23280388753006181,14.455888954652934,0.16444248368782335,1.096251668442903
7,0.19030661091479253,13.561828445053594,0.1195243900716539,1.0023250044171856
8,0.15898696393187858,12.723063337717821,0.08991403958998245,0.9199722539451837
9,0.13492716154897305,11.936173750569786,0.06822042941405287,0.8473671155952667
10,0.11585534093649849,11.197951312670815,0.051155820025783276,0.7830298011307817
11,0.10037329517864504,10.50538608278555,0.03754254798869351,0.7257510334997628
12,0.08757515964673228,9.855654277002005,0.027104921430479687,0.6745348051287581
13,0.07684656892731069,9.246106755367567,0.019559358521248262,0.6285547849500674
14,0.06775363119398194,8.674258220597723,0.014359703417846688,0.587120777678224
15,0.059978972715246014,8.137777084817577,0.010831854783924993,0.5496526709135746
16,0.053283459376152885,7.634475963020012,0.00837492916836033,0.5156600188341803
17,0.047482422794365216,7.162302754479654,0.006564964298256572,0.4847259106631198
18,0.04243035365046085,6.719332275759028,0.005153222089567781,0.4564941261859436
19,0.03801069979971499,6.3037584111923115,0.0040136720186703286,0.43065883454829296
20,0.03412884225314689,5.913886748842022,0.0030870383932836186,0.406956276676147
21,0.0307071132498734,5.548127671903303,0.00234197679211343,0.38515800649305354
22,0.027681167777848303,5.204989877387561,0.001754888613313945,0.3650653657907304
23,0.024997278963470527,4.88307429565928,0.001302545443693125,0.3465049419647137
24,0.02261028163955789,4.581068386034236,0.0009612501598975244,0.32932481375788536
25,0.020481982154319844,4.297740785180682,0.0007082319825862739,0.3133914325618492
26,0.018579911079982078,4.031936286503502,0.0005231032138660823,0.29858701922123704
27,0.016876333053745095,3.782571130040875,0.0003886825204196098,0.28480738120915805
