k,full,step
1,743.3373098680204,1.0
2,360.7950815849108,1.0
3,174.68956859106765,1.0
4,82.11526078878887,1.0
5,36.9297868991016,1.0
6,16.154788394600473,1.0
7,6.902244781369518,1.0
8,2.8411584148161637,1.0
9,1.0385593602550216,1.0
10,0.2813314948034531,1.0
11,0.04087655896364595,1.0
12,0.0016042566567193717,1.0
13,4.0618033381178975e-6,1.0
14,1.9281287677586079e-10,0.5120000000000001
15,2.0736479200422764e-10,0.32768000000000014
16,2.1100277081131935e-10,1.0
17,2.764863893389702e-10,0.054975581388800036
18,2.7284841053187847e-10,0.009223372036854787
19,2.7284841053187847e-10,0.0007922816251426447
20,2.7284841053187847e-10,0.0007922816251426447
21,2.7284841053187847e-10,0.0007922816251426447
22,2.7284841053187847e-10,0.0007922816251426447
23,2.7284841053187847e-10,0.0007922816251426447
24,2.7284841053187847e-10,0.0007922816251426447
25,2.7284841053187847e-10,0.0007922816251426447
26,2.7284841053187847e-10,0.0007922816251426447
27,2.7284841053187847e-10,0.0007922816251426447
28,2.7284841053187847e-10,0.0007922816251426447
29,2.7284841053187847e-10,0.0007922816251426447
30,2.7284841053187847e-10,0.0
