k,md
1,2.361090919114042
2,0.4230819764588059
3,0.2757579555602927
4,0.2018502087025536
5,0.1560852906644474
6,0.12456360392372127
7,0.10142862495332391
8,0.08373773093811
9,0.06982819072448122
10,0.05867376770458309
11,0.04959422751713302
12,0.042111873367594824
13,0.03587638704875395
14,0.030623660717159187
15,0.026152098036885042
16,0.022307908074189784
17,0.018974950978282366
18,0.01606687424764934
19,0.013520487569720616
20,0.01128997246873752
21,0.009341834655131671
22,0.007650626820919833
23,0.006195494542254395
24,0.004957583118366195
25,0.003918309020970202
26,0.0030584483948949285
27,0.0023579303775069153
28,0.0017961600295795283
29,0.0013526563482562034
30,0.0010077909871390746
31,0.0007434531100745139
32,0.0005435304414898772
33,0.0003941650198949955
34,0.00028379704587865436
35,0.000203043233599817
36,0.00014446777974798174
37,0.00010230033516202516
38,7.21434397607077e-5
39,5.069772254354424e-5
40,3.552048010710129e-5
41,2.4823651401223878e-5
42,1.7310905638614623e-5
43,1.205002215700861e-5
44,8.375196748401873e-6
45,5.813633933003948e-6
46,4.031214252831785e-6
47,2.792772697400975e-6
48,1.9333511640473223e-6
49,1.3375653980614126e-6
50,9.248971129447678e-7
51,6.392689159648772e-7
52,4.416894036570075e-7
53,3.050843072269649e-7
54,2.1067556304004619e-7
55,1.4545147303331036e-7
56,1.0040306300997905e-7
57,6.929682584825568e-8
58,4.782200748840966e-8
59,3.299887336840235e-8
60,2.276850746997651e-8
61,1.570869890692774e-8
62,1.0837300400419661e-8
63,7.476209114755048e-9
64,5.15732716597498e-9
65,3.5575722713063677e-9
66,2.4539798382641763e-9
67,1.6926940048840734e-9
68,1.1675561819350317e-9
69,8.053234830782229e-10
70,5.554658035833229e-10
71,3.831242406424627e-10
72,2.642518667774986e-10
73,1.8226080418790193e-10
74,1.257088433360624e-10
75,8.670340657244464e-11
76,5.980047731479259e-11
77,4.124502870937187e-11
78,2.8447054173944594e-11
79,1.9620132434882683e-11
80,1.3532115411923866e-11
81,9.33316028065828e-12
82,6.4371132654878706e-12
83,4.4396943871877916e-12
84,3.062066259163428e-12
85,2.1119116510089727e-12
86,1.4565876411917836e-12
87,1.0046094443755218e-12
88,6.928794714952489e-13
89,4.778790232688358e-13
90,3.2959309426704643e-13
91,2.2732025070998966e-13
92,1.5678266950629177e-13
93,1.0813291356160294e-13
94,7.457919475990275e-14
95,5.143721200369936e-14
96,3.547620102772643e-14
97,2.4467903340144864e-14
98,1.6875489312325394e-14
99,1.1639007995177465e-14
100,8.027411705521948e-15
101,5.536497275464867e-15
102,3.818516128238555e-15
103,2.6336263288811263e-15
104,1.8164091103634176e-15
105,1.2527752910852623e-15
106,8.64037675559282e-16
107,5.959257804948916e-16
108,4.1100931466210516e-16
109,2.834726417785475e-16
110,1.9551074644425087e-16
111,1.3484353043808502e-16
112,9.300142274623696e-17
113,6.41429704756064e-17
114,4.4239330083105155e-17
115,3.051181297343374e-17
116,2.1043960814833273e-17
117,1.451399458843831e-17
118,1.0010284544121971e-17
119,6.9040812071692775e-18
120,4.761736576429103e-18
121,3.2841639980067123e-18
122,2.2650839799488927e-18
123,1.56222567210096e-18
124,1.0774652056722015e-18
125,7.431264836905827e-19
126,5.125334207068361e-19
127,3.5349368472458707e-19
128,2.438041612291096e-19
129,1.6815143352738719e-19
130,1.1597384569296427e-19
131,7.998702369416546e-20
132,5.516695974942507e-20
133,3.804858207670846e-20
134,2.624206060099026e-20
135,1.809912052270241e-20
136,1.2482939478499934e-20
137,8.609463808561613e-21
138,5.937937407114035e-21
139,4.09538851832403e-21
140,2.824583370221785e-21
141,1.9481122012943433e-21
142,1.3436114206017852e-21
143,9.26688057680553e-22
144,6.391351306967366e-22
145,4.408104294768119e-22
146,3.040269106748949e-22
147,2.0968729144899822e-22
148,1.4462136704341995e-22
149,9.974529543302212e-23
150,6.87940299383286e-23
151,4.7447079290917067e-23
152,3.2724412458208216e-23
153,2.2569869512241566e-23
154,1.5566322427026113e-23
155,1.0735891234197827e-23
156,7.404577310710143e-24
157,5.106933284901744e-24
158,3.522237530010496e-24
159,2.429253884557297e-24
160,1.6754156981728712e-24
161,1.1555343212718384e-24
162,7.969618531978544e-25
163,5.496202477336859e-25
164,3.790565202872302e-25
165,2.6143011064866214e-25
166,1.8030348647269015e-25
167,1.2436932492118384e-25
168,8.577424994968297e-26
169,5.91551885147174e-26
170,4.079953805463101e-26
171,2.813814552609214e-26
172,1.9410790488955723e-26
173,1.3381911322636233e-26
174,9.229325220045046e-27
175,6.3642001649464155e-27
176,4.388872534201623e-27
177,3.0285659788071452e-27
178,2.0880631786914848e-27
179,1.4403920048686928e-27
180,9.927427879843799e-28
181,6.839310941339197e-28
182,4.717683072148693e-28
183,3.2550268782080785e-28
184,2.2432095995398925e-28
185,1.544960893975991e-28
186,1.0660169055500872e-28
187,7.34566027750184e-29
188,5.089217620056238e-29
189,3.493895247521997e-29
190,2.4093464637361732e-29
191,1.6658099909753306e-29
192,1.1466280869314996e-29
193,7.955056883581771e-30
194,5.499953464607633e-30
195,3.7980290132300595e-30
196,2.6197810184715343e-30
197,1.7419798057917635e-30
198,1.1843839503559115e-30
199,7.973291676186588e-31
200,5.407273353018265e-31
201,3.7751844612574915e-31
202,2.698405104918468e-31
203,2.206102646740047e-31
204,1.779739852111773e-31
205,1.419316721033646e-31
206,1.1600481037284174e-31
207,1.0498589413736955e-31
208,9.526332098842347e-32
209,8.683709092600354e-32
210,7.970720395010977e-32
211,7.387366006074214e-32
212,6.933645925790064e-32
213,6.933645925790064e-32
214,6.933645925790064e-32
215,6.933645925790064e-32
216,6.933645925790064e-32
217,6.933645925790064e-32
218,6.933645925790064e-32
219,6.933645925790064e-32
220,6.933645925790064e-32
221,6.933645925790064e-32
222,6.933645925790064e-32
223,6.933645925790064e-32
224,6.933645925790064e-32
225,6.933645925790064e-32
226,6.933645925790064e-32
227,6.933645925790064e-32
228,6.933645925790064e-32
229,6.933645925790064e-32
230,6.933645925790064e-32
231,6.933645925790064e-32
232,6.933645925790064e-32
233,6.933645925790064e-32
234,6.933645925790064e-32
235,6.933645925790064e-32
236,6.933645925790064e-32
237,6.933645925790064e-32
238,6.933645925790064e-32
239,6.933645925790064e-32
240,6.933645925790064e-32
241,6.933645925790064e-32
242,6.933645925790064e-32
243,6.933645925790064e-32
244,6.933645925790064e-32
245,6.933645925790064e-32
246,6.933645925790064e-32
247,6.933645925790064e-32
248,6.933645925790064e-32
249,6.933645925790064e-32
250,6.933645925790064e-32
251,6.933645925790064e-32
252,6.933645925790064e-32
253,6.933645925790064e-32
254,6.933645925790064e-32
255,6.933645925790064e-32
256,6.933645925790064e-32
257,6.933645925790064e-32
258,6.933645925790064e-32
259,6.933645925790064e-32
260,6.933645925790064e-32
261,6.933645925790064e-32
262,6.933645925790064e-32
263,6.933645925790064e-32
264,6.933645925790064e-32
265,6.933645925790064e-32
266,6.933645925790064e-32
267,6.933645925790064e-32
268,6.933645925790064e-32
269,6.933645925790064e-32
270,6.933645925790064e-32
271,6.933645925790064e-32
272,6.933645925790064e-32
273,6.933645925790064e-32
274,6.933645925790064e-32
275,6.933645925790064e-32
276,6.933645925790064e-32
277,6.933645925790064e-32
278,6.933645925790064e-32
279,6.933645925790064e-32
280,6.933645925790064e-32
281,6.933645925790064e-32
282,6.933645925790064e-32
283,6.933645925790064e-32
284,6.933645925790064e-32
285,6.933645925790064e-32
286,6.933645925790064e-32
287,6.933645925790064e-32
288,6.933645925790064e-32
289,6.933645925790064e-32
290,6.933645925790064e-32
291,6.933645925790064e-32
292,6.933645925790064e-32
293,6.933645925790064e-32
294,6.933645925790064e-32
295,6.933645925790064e-32
296,6.933645925790064e-32
297,6.933645925790064e-32
298,6.933645925790064e-32
299,6.933645925790064e-32
300,6.933645925790064e-32
301,6.933645925790064e-32
302,6.933645925790064e-32
303,6.933645925790064e-32
304,6.933645925790064e-32
305,6.933645925790064e-32
306,6.933645925790064e-32
307,6.933645925790064e-32
308,6.933645925790064e-32
309,6.933645925790064e-32
310,6.933645925790064e-32
311,6.933645925790064e-32
312,6.933645925790064e-32
313,6.933645925790064e-32
314,6.933645925790064e-32
315,6.933645925790064e-32
316,6.933645925790064e-32
317,6.933645925790064e-32
318,6.933645925790064e-32
319,6.933645925790064e-32
320,6.933645925790064e-32
321,6.933645925790064e-32
322,6.933645925790064e-32
323,6.933645925790064e-32
324,6.933645925790064e-32
325,6.933645925790064e-32
326,6.933645925790064e-32
327,6.933645925790064e-32
328,6.933645925790064e-32
329,6.933645925790064e-32
